SIC5L4;SIC7L4;Level 5 text description
1111;0111;String bean growing
1111;0111;Sunflower growing
1111;0111;Sunflower seeds growing
1111;0111;Triticale growing
1111;0111;Wheat growing
1112;0111;Beans, green, growing
1113;0111;Mustard growing
1111;0112;Growing of rice
1111;0112;Rice growing
1111;0113;Growing of sugar beet
1112;0113;Growing of fruit bearing vegetables such as: cantaloupes
1112;0113;Growing of fruit bearing vegetables such as: cucumbers
1112;0113;Growing of fruit bearing vegetables such as: eggplants (aubergines)
1112;0113;Growing of fruit bearing vegetables such as: gherkins
1112;0113;Growing of fruit bearing vegetables such as: other melons
1112;0113;Growing of fruit bearing vegetables such as: pumpkin
1112;0113;Growing of fruit bearing vegetables such as: squash
1112;0113;Growing of fruit bearing vegetables such as: sweet corn
1112;0113;Growing of fruit bearing vegetables such as: tomatoes
1112;0113;Growing of fruit bearing vegetables such as: watermelons
1112;0113;Growing of leafy or stem vegetables: artichokes
1112;0113;Growing of leafy or stem vegetables: asparagus
1112;0113;Growing of leafy or stem vegetables: broccoli
1112;0113;Growing of leafy or stem vegetables: cabbages
1112;0113;Growing of leafy or stem vegetables: cauliflower
1112;0113;Growing of leafy or stem vegetables: lettuce chicory
1112;0113;Growing of leafy or stem vegetables: spinach
1112;0113;Growing of mushrooms
1112;0113;Growing of other fruit bearing vegetables
1112;0113;Growing of other leafy vegetables
1112;0113;Growing of other root, bulb or tuberous vegetables n.e.c
1112;0113;Growing of other roots and tubers
1112;0113;Growing of other stem vegetables
1112;0113;Growing of other vegetables
1112;0113;Growing of root, bulb or tuberous vegetables: carrots
1112;0113;Growing of root, bulb or tuberous vegetables: garlic
1112;0113;Growing of root, bulb or tuberous vegetables: leeks and other alliaceous vegetables
1112;0113;Growing of root, bulb or tuberous vegetables: onions (incl. shallots)
1112;0113;Growing of root, bulb or tuberous vegetables: turnips
1112;0113;Growing of roots and tubers: cassava
1112;0113;Growing of roots and tubers: potatoes
1112;0113;Growing of roots and tubers: sweet potatoes
1112;0113;Growing of roots and tubers: yams
1112;0113;Growing of truffles
1112;0113;Growing of vegetable seeds, except beet seeds
1112;0113;Growing of vegetables and melons, roots and tubers
1111;0113;Bean growing
1111;0113;Cassava growing
1111;0113;Chicory growing
1111;0113;Chicory roots growing
1111;0113;Roots growing
1111;0113;Sugar beet growing
1111;0113;Tubers growing - with a high starch or inulin content
1112;0113;Asparagus growing
1112;0113;Beetroot growing
1112;0113;Broccoli growing
1112;0113;Brussel sprout growing
1112;0113;Cabbage growing
1112;0113;Cantaloupe growing
1112;0113;Carrot growing
1112;0113;Cauliflower growing
1112;0113;Celery growing
1112;0113;Courgette growing (marrow)
1112;0113;Cress growing
1112;0113;Cucumbers growing
1112;0113;Cultivated mushroom growing
1112;0113;Fruit-bearing vegetables growing
1112;0113;Garlic growing
1112;0113;Gherkin growing
1112;0113;Hot house tomato growing
1112;0113;Hot house vegetable growing
1112;0113;Kumara growing
1112;0113;Leek growing
1112;0113;Lettuce growing
1112;0113;Marrow growing or gathering
1112;0113;Melons growing
1112;0113;Mushroom growing
1112;0113;Onion growing
1112;0113;Parsnip growing
1112;0113;Potatoes growing
1112;0113;Pumpkins growing
1112;0113;Rhizomes growing
1112;0113;Rhubarb growing
1112;0113;Silverbeet growing
1112;0113;Squash growing
1112;0113;Sweet potatoes growing
1112;0113;Sweetcorn growing
1112;0113;Tomato growing
1112;0113;Truffles growing
1112;0113;Tuberous roots growing
1112;0113;Turnip growing
1112;0113;Vegetable growing
1112;0113;Watercress growing
1112;0113;Watermelons growing
1111;0114;Growing of sugar cane
1111;0114;Sugar cane growing
1111;0114;Sugar cane plantation
1111;0115;Growing of unmanufactured tobacco
1111;0115;Preliminary tobacco leaf packing as part of farming
1111;0115;Tobacco growing
1111;0116;Growing of abaca
1111;0116;Growing of cotton
1111;0116;Growing of fibre crops
1111;0116;Growing of flax 
1111;0116;Growing of jute
1111;0116;Growing of kenaf
1111;0116;Growing of other fibre crops
1111;0116;Growing of other textile bast fibres
1111;0116;Growing of other textile fibre of the genus agave
1111;0116;Growing of other vegetable textile fibres
1111;0116;Growing of ramie
1111;0116;Growing of sisal
1111;0116;Growing of true hemp
1111;0116;Cotton growing
1111;0116;Flax growing
1111;0116;Hemp growing
1111;0116;Jute growing
1111;0116;Linen flax growing
1111;0116;Phormium flax growing
1111;0116;Plants growing, containing vegetable textile fibres retting
1111;0116;Ramie growing
1111;0116;Vegetables textile materials growing
1111;0119;Growing of beet seeds (excluding sugar beet seeds) 
1111;0119;Growing of other non-perennial crops
1111;0119;Growing of seeds of forage plants
1111;0119;Growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, maize and other grasses, forage kale and similar forage products
1112;0119;Growing of flower seeds (except sunflower seed)
1112;0119;Growing of flowers
1112;0119;Production of  flower buds
1112;0119;Production of cut flowers
1111;0119;Aloe vera growing
1111;0119;Canary seed growing
1111;0119;Clover seed growing
1111;0119;Crops growing n.e.c. (non perennial)
1111;0119;Fodder growing
1111;0119;Forage sorghum growing
1111;0119;Grain seed growing
1111;0119;Grass seed growing
1111;0119;Hay growing
1111;0119;Lucerne growing
1111;0119;Pasture seed growing
1111;0119;Ryecorn growing
1111;0119;Seeds production used for sowing and of sugar beet and forage plants
1111;0119;Silage production
1111;0119;Sudan grass production
1111;0119;Teasel (also teazel or teazle) plant growing
1111;0119;Turf growing (not in the wild)
1112;0119;Bamboo growing and cutting (own) for ornamental purposes
1112;0119;Carnation growing
1112;0119;Display foliage growing
1112;0119;Floriculture activities
1112;0119;Flower buds growing
1112;0119;Flower growing
1112;0119;Flower seed growing
1112;0119;Gerbera growing
1112;0119;Gypsophila growing
1112;0119;Lavender growing
1112;0119;Living plants for planting or ornamental purposes growing
1112;0119;Nursery products growing
1112;0119;Orchid growing
1112;0119;Plant nursery operation
1112;0119;Rose growing
1112;0119;Vine stock nursery operation
1113;0121;Growing of grapes
1113;0121;Growing of table grapes in vineyards
1113;0121;Growing of wine grapes in vineyards
1113;0121;Grape drying undertaken in conjunction with the growing thereof
1113;0121;Grape growing
1113;0121;Table grape growing
1113;0121;Vineyard operation
1113;0121;Viticulture activity (growing of grapes)
1113;0121;Wine manufacturing, done at the same location as grape growing
1113;0122;Bread fruit growing
1113;0122;Avocado growing
1113;0122;Babaco growing
1113;0122;Banana growing
1113;0122;Cherimoya growing
1113;0122;Dates growing
1113;0122;Feijoa growing
1113;0122;Fig growing
1113;0122;Growing of other tropical and subtropical fruits
1113;0122;Growing of tropical and subtropical fruit: avocados
1113;0122;Growing of tropical and subtropical fruit: bananas
1113;0122;Growing of tropical and subtropical fruit: dates
1113;0122;Growing of tropical and subtropical fruit: figs
1113;0122;Growing of tropical and subtropical fruit: guavas
1113;0122;Growing of tropical and subtropical fruit: mangoes
1113;0122;Growing of tropical and subtropical fruit: papayas
1113;0122;Growing of tropical and subtropical fruit: pineapples
1113;0122;Growing of tropical and subtropical fruit: plantains
1113;0122;Guavas growing
1113;0122;Litchi growing
1113;0122;Loquat growing
1113;0122;Mango growing
1113;0122;Passionfruit growing
1113;0122;Pineapple growing and farming
1113;0122;Sub-tropical fruit drying undertaken in conjunction with the growing thereof
1113;0122;Subtropical fruit growing
1113;0122;Tamarillo growing
1113;0122;Tropical fruit drying undertaken in conjunction with the growing thereof
1113;0123;Citrus fruit drying undertaken in conjunction with the growing thereof
1113;0123;Citrus fruit grove
1113;0123;Citrus fruit growing
1113;0123;Citrus orchard (growing)
1113;0123;Cumquat growing
1113;0123;Grape fruit growing
1113;0123;Growing of citrus fruits
1113;0123;Growing of citrus fruits: clementines
1113;0123;Growing of citrus fruits: grapefruit 
1113;0123;Growing of citrus fruits: lemons 
1113;0123;Growing of citrus fruits: limes
1113;0123;Growing of citrus fruits: mandarins 
1113;0123;Growing of citrus fruits: oranges
1113;0123;Growing of citrus fruits: pomelo
1113;0123;Growing of citrus fruits: tangerines
1113;0123;Lemon growing
1113;0123;Mandarin growing
1113;0123;Nectarine growing
1113;0123;Orange growing
1113;0123;Persimmon growing
1113;0123;Tangelo growing (partly pomelo and partly tangerine)
1113;0124;Apples growing
1113;0124;Apricot growing
1113;0124;Asian pear growing
1113;0124;Deciduous fruit growing (soft fruit)
1113;0124;Growing of other pome fruits and stone fruits n.e.c
1113;0124;Growing of pome fruits and stone fruits
1113;0124;Growing of pome fruits and stone fruits: apples
1113;0124;Growing of pome fruits and stone fruits: apricots
1113;0124;Growing of pome fruits and stone fruits: cherries
1113;0124;Growing of pome fruits and stone fruits: nectarines
1113;0124;Growing of pome fruits and stone fruits: peaches
1113;0124;Growing of pome fruits and stone fruits: pears
1113;0124;Growing of pome fruits and stone fruits: plums
1113;0124;Growing of pome fruits and stone fruits: quinces
1113;0124;Growing of pome fruits and stone fruits: sloes
1113;0124;Growing of pome fruits and stone fruits: sour cherries
1113;0124;Nashi pear growing
1113;0124;Orchard pipfruit growing
1113;0124;Orchard stonefruit growing
1113;0124;Peach growing
1113;0124;Pear growing
1113;0124;Plum or prune growing
1113;0124;Pone fruit drying undertaken in conjunction with the growing thereof
1113;0124;Quince growing
1113;0124;Stone fruit drying undertaken in conjunction with the growing thereof
1113;0125;Growing of other tree and bush fruits: locust beans
1113;0125;Almond growing
1113;0125;Berries growing
1113;0125;Berryfruit growing
1113;0125;Berryfruit orchard
1113;0125;Blackberry growing
1113;0125;Blackcurrant growing
1113;0125;Blue berry growing
1113;0125;Boysenberry growing
1113;0125;Bush fruits and nuts drying undertaken in conjunction with the growing thereof
1113;0125;Cashew nut growing
1113;0125;Cherries growing
1113;0125;Chestnut growing
1113;0125;Cranberry growing
1113;0125;Currant growing (red or black)
1113;0125;Edible nuts growing
1113;0125;Gooseberry growing
1113;0125;Growing of berries: blueberries
1113;0125;Growing of berries: currants
1113;0125;Growing of berries: gooseberries
1113;0125;Growing of berries: kiwi fruit
1113;0125;Growing of berries: raspberries
1113;0125;Growing of berries: strawberries
1113;0125;Growing of edible nuts: almonds
1113;0125;Growing of edible nuts: cashew nuts
1113;0125;Growing of edible nuts: chestnuts
1113;0125;Growing of edible nuts: hazelnuts
1113;0125;Growing of edible nuts: pistachios
1113;0125;Growing of edible nuts: walnuts
1113;0125;Growing of fruit seeds
1113;0125;Growing of other berries
1113;0125;Growing of other edible nuts
1113;0125;Growing of other tree and bush fruits and nuts
1113;0125;Kiwifruit growing
1113;0125;Loganberry growing
1113;0125;Macadamia nut growing
1113;0125;Mulberry growing
1113;0125;Mulberry tree cultivating
1113;0125;Nut bearing tree growing
1113;0125;Nuts growing
1113;0125;Pecan nut growing
1113;0125;Raspberry growing
1113;0125;Redcurrant growing
1113;0125;Soft fruit growing
1113;0125;Strawberry growing
1113;0125;Walnut growing
1111;0126;Growing of oleaginous fruits: oil palms
1112;0126;Growing of oleaginous fruits: olives
1113;0126;Growing of oleaginous fruits
1113;0126;Growing of oleaginous fruits: coconuts
1113;0126;Growing of other oleaginous fruits
1111;0126;Oleaginous fruit growing
1112;0126;Olives growing
1113;0126;Coconut growing
1113;0126;Oleaginous fruit drying undertaken in conjunction with the growing thereof
1113;0127;Growing of beverage crops
1113;0127;Growing of beverage crops: cocoa
1113;0127;Growing of beverage crops: coffee
1113;0127;Growing of beverage crops: maté
1113;0127;Growing of beverage crops: tea
1113;0127;Growing of other beverage crops
1113;0127;Beverage crops growing
1113;0127;Coffee growing
1113;0127;Coffee of cocoa beans growing
1113;0127;Mate leaves growing
1113;0127;Tea drying and packing undertaken in conjunction with the growing thereof
1113;0127;Tea leaves growing
1113;0127;Tea plantation (farming)
1111;0128;Growing of drug crops
1111;0128;Growing of hops
1111;0128;Growing of narcotic crops
1111;0128;Growing of plants used primarily for insecticidal, fungicidal or similar purposes
1111;0128;Growing of plants used primarily in perfumery
1111;0128;Growing of plants used primarily in pharmacy
1111;0128;Growing of vanilla
1112;0128;Growing of chillies and peppers (capsicum spp.)
1112;0128;Growing of fennel
1113;0128;Growing of anise
1113;0128;Growing of badian
1113;0128;Growing of cardamoms
1113;0128;Growing of cinnamon (canella)
1113;0128;Growing of cloves
1113;0128;Growing of ginger
1113;0128;Growing of mace
1113;0128;Growing of nutmeg
1113;0128;Growing of pepper (piper spp.)
1113;0128;Growing of other spices and aromatic crops
1111;0128;Drug plants growing
1111;0128;Herb growing
1111;0128;Hop cones growing
1111;0128;Hops growing
1111;0128;Plant materials growing, used in pharmacy or for insecticides, fungicidal or similar purposes
1111;0128;Vanilla bean growing
1112;0128;Capers growing
1112;0128;Capsicum growing
1112;0128;Chervil growing
1112;0128;Chilli farming
1112;0128;Chive growing
1112;0128;Fruit of the genus capsicum or pimenta or fennel growing
1112;0128;Parsley growing
1112;0128;Sweet marjoram growing
1112;0128;Tarragon growing
1113;0128;Aniseeds growing
1113;0128;Basil leaves growing
1113;0128;Bay leaves growing
1113;0128;Cinnamon growing
1113;0128;Cloves growing
1113;0128;Coriander seeds growing
1113;0128;Cumin seeds growing
1113;0128;Ginger  growing
1113;0128;Nutmeg growing
1113;0128;Spanish hops growing (origanum/marjojam)
1113;0128;Spice crops growing
1113;0128;Spice fruit growing
1113;0128;Spice leaves growing
1113;0128;Spice seeds growing
1113;0128;Thyme leaves growing
1111;0129;Growing of other perennial crops
1111;0129;Growing of rubber trees
1111;0129;Growing of trees for extraction of sap (for extraction of sap in the wild, see 0230)
1111;0129;Growing of vegetable materials of a kind used primarily for plaiting
1112;0129;Growing of Christmas trees
1111;0129;Crops growing n.e.c. (perennial)
1111;0129;Plant material growing for plaiting, padding or stuffing or for brooms or brushes
1111;0129;Rubber trees growing
1112;0130;Operation of tree nurseries (for forest tree nurseries, see 0210)
1112;0130;Plant propagation
1112;0130;Bulb propagation
1112;0130;Bulbs growing
1112;0130;Corms growing
1112;0130;Crowns growing
1112;0130;Fruit tree nursery operation
1112;0130;Growing of cuttings and slips
1112;0130;Growing of live plants for bulbs
1112;0130;Growing of mushroom spawn
1112;0130;Growing of plants for ornamental purposes, including turf for transplanting
1112;0130;Growing of plants for plating (for seed-production, see 011 and 012)
1112;0130;Growing of tubers and roots
1112;0130;Horticultural specialities growing or production
1112;0130;Mushroom spawn growing
1112;0130;Plant stock growing
1112;0130;Seed potato growing
1112;0130;Seedling growing
1112;0130;Seedling plant growing
1112;0130;Seedling plant production
1112;0130;Seeds for flowers growing or production
1112;0130;Seeds for fruit or vegetables production or growing (for propagation)
1112;0130;Unrooted cuttings or slips production
1112;0130;Vegetable seed growing
1112;0130;Willow tree growing (nurseries)
1140;0130;Crop growth promoting activities
1121;0141;Beef farming
1121;0141;Bovine semen production
1121;0141;Breeding of buffaloes
1121;0141;Breeding of cattle
1121;0141;Buffalo, domesticated, grazing
1121;0141;Butter production (on the farm)
1121;0141;Cattle farming
1121;0141;Cattle feedlot operation
1121;0141;Cheese production undertaken in conjunction with farming activities
1121;0141;Dairy farming
1121;0141;Dairy products production, undertaken in conjunction with farming activities
1121;0141;Livestock speculators - cattle and buffaloes
1121;0141;Production of bovine semen
1121;0141;Production of raw cow milk from buffaloes (for processing of milk, see 1050)
1121;0141;Production of raw cow milk from cows (for processing of milk, see 1050)
1121;0141;Raising of buffaloes
1121;0141;Raising of cattle
1121;0141;Raising of cattle and buffaloes
1121;0141;Raw cattle milk production
1121;0141;Share cattle milking operation principally (not town milk)
1121;0142;Breeding of asses
1121;0142;Breeding of horses, including racing horses (for operation of racing and riding stables, see 9319)
1121;0142;Breeding of mules or hinnies
1121;0142;Raising  of horses, including racing horses (for operation of racing and riding stables, see 9319)
1121;0142;Raising of asses
1121;0142;Raising of horses and other equines
1121;0142;Raising of mules or hinnies
1121;0142;Asses farming
1121;0142;Bloodstock investment
1121;0142;Hinnies farming
1121;0142;Horse ranching
1121;0142;Horse stud farm operation
1121;0142;Horses farming
1121;0142;Livestock speculators - horses and other equines
1121;0142;Mules farming
1121;0142;Stallion syndicate activities
1121;0142;Stud-farming
1121;0143;Breeding of camels (dromedary) and camelids
1121;0143;Raising of camels (dromedary) and camelids
1121;0143;Raising of camels and camelids
1121;0143;Alpaca farming
1121;0143;Livestock speculators - camels and camelids
1121;0143;Llama farming
1121;0143;Raw camel milk production
1121;0144;Breeding of goats
1121;0144;Breeding of sheep
1121;0144;Production of raw goat milk (for processing of milk, see 1050)
1121;0144;Production of raw sheep milk (for processing of milk, see 1050)
1121;0144;Production of raw wool (for processing of pulled wool, see 1010)
1121;0144;Raising of goats
1121;0144;Raising of sheep
1121;0144;Raising of sheep and goats
1121;0144;Dairy goat farming
1121;0144;Goats farming and breeding
1121;0144;Livestock speculators - sheep and goats
1121;0144;Prime lamb raising
1121;0144;Raw sheep milk production
1121;0144;Share goat milking operation principally (not town milk)
1121;0144;Sheep farming and breeding
1121;0144;Sheep ranching
1121;0144;Sheep-shearing  by sheep owner
1121;0144;Wool growing (raw)
1122;0145;Breeding of swine (pigs)
1122;0145;Raising of swine (pigs)
1122;0145;Raising of swine/pigs
1121;0145;Livestock speculators - swine/pig
1122;0145;Pig farming
1122;0145;Pig raising
1122;0145;Swine raising
1122;0146;Eggs production
1122;0146;Livestock speculators - poultry
1122;0146;Breeding of poultry: ducks
1122;0146;Breeding of poultry: fowls of the species Gallus domesticus (chickens and capons)
1122;0146;Breeding of poultry: geese
1122;0146;Breeding of poultry: guinea fowls
1122;0146;Breeding of poultry: turkeys
1122;0146;Broiler farming
1122;0146;Chicken farming (also slaughtering on farm)
1122;0146;Chicken farming in conjunction with manufacturing (slaughtering, dressing or packing)
1122;0146;Chicken hatchery operation for egg production
1122;0146;Chicken hatchery operation for meat production
1122;0146;Duck farming for meat
1122;0146;Geese farming for meat
1122;0146;Goose farming
1122;0146;Operation of poultry hatcheries
1122;0146;Poultry egg farm operation
1122;0146;Poultry farming for meat
1122;0146;Poultry hatcheries operation
1122;0146;Poultry slaughtering undertaken in conjunction with farming
1122;0146;Production of eggs
1122;0146;Raising of poultry
1122;0146;Raising of poultry: ducks
1122;0146;Raising of poultry: fowls of the species Gallus domesticus (chickens and capons)
1122;0146;Raising of poultry: geese
1122;0146;Raising of poultry: guinea fowls
1122;0146;Raising of poultry: turkeys
1122;0146;Slaughter of poultry on the farm
1122;0146;Turkey farming for meat
1122;0149;Bee-keeping 
1122;0149;Breeding of birds, such as parakeets etc. (pets)
1122;0149;Breeding of cats (pets)
1122;0149;Breeding of dogs (pets)
1122;0149;Breeding of emus
1122;0149;Breeding of hamsters etc. (pets)
1122;0149;Breeding of insects
1122;0149;Breeding of ostriches
1122;0149;Breeding of other birds (except poultry)
1122;0149;Breeding of other fur animals
1122;0149;Breeding of rabbits
1122;0149;Livestock speculators - other animals
1122;0149;Muskrat farming
1122;0149;Operation of land mollusc farms
1122;0149;Operation of snail farms
1122;0149;Operation of worm farms
1122;0149;Production of beeswax
1122;0149;Production of bird skins from ranching operation
1122;0149;Production of fur skins from ranching operation
1122;0149;Production of honey
1122;0149;Production of reptile skins from ranching operation
1122;0149;Production of silk worm cocoons
1122;0149;Raising of birds, such as parakeets etc. (pets)
1122;0149;Raising of cats (pets)
1122;0149;Raising of diverse animals
1122;0149;Raising of dogs (pets)
1122;0149;Raising of emus
1122;0149;Raising of hamsters etc. (pets)
1122;0149;Raising of insects
1122;0149;Raising of ostriches
1122;0149;Raising of other animals
1122;0149;Raising of other birds (except poultry)
1122;0149;Raising of other fur animals
1122;0149;Raising of rabbits
1122;0149;Raising of silk worms
1151;0149;Game farming
1151;0149;Game propagation
1122;0149;Apiary operation
1122;0149;Apiculture activity
1122;0149;Bee catching operation (for agricultural purposes)
1122;0149;Bee keeping for raw honey production
1122;0149;Bee keeping for sale of honey
1122;0149;Bird breeding
1122;0149;Bird skins production - from ranching operation
1122;0149;Birds raising
1122;0149;Butterfly breeding
1122;0149;Cats breeding
1122;0149;Dogs breeding
1122;0149;Domesticated animals raising except swine and poultry
1122;0149;Emu farming
1122;0149;Fitch or polecat breeding
1122;0149;Furskin animal breeding
1122;0149;Furskin production with farming operation
1122;0149;Game bird farming
1122;0149;Greyhound breeding
1122;0149;Honey production
1122;0149;Insects raising
1122;0149;Land mollusc raising
1122;0149;Land molluscs breeding
1122;0149;Opossum breeding
1122;0149;Ostrich farming
1122;0149;Pet breeding
1122;0149;Rabbit farming and raising
1122;0149;Raw honey production
1122;0149;Reptile skins production from ranching operation
1122;0149;Reptiles raising
1122;0149;Sericultural farming and breeding services (silkworm)
1122;0149;Silkworm cocoons production
1122;0149;Silkworm egg production and raising of silkworm
1122;0149;Small animal breeding
1122;0149;Snake farming
1122;0149;Vermiculture (worm breeding)
1122;0149;Worm farming
1122;0149;Worms breeding
1151;0149;Deer breeding and farming
1151;0149;Deer farming for venison
1151;0149;Deer velvet processing/production
3150;0149;Production of fellmongered wool, pelt or slipe wool
1130;0150;Animal farming with crops, etc. (neither exceeding 66%)
1130;0150;Growing of crops combined with farming of animals (neither exceeding 66%)
1113;0161;Trimming of fruit trees on a fee or contract basis
1113;0161;Trimming of vines on a fee or contract basis
1140;0161;Crop spraying, including by air on a fee or contract basis
1140;0161;Establishing a crop on a fee or contract basis
1140;0161;Harvesting on a fee or contract basis
1140;0161;Maintenance of land to keep it in good condition for agricultural use on a fee or contract basis (to keep it in good ecological condition, see 8130)
1140;0161;Operation of agricultural irrigation equipment on a fee or contract basis
1140;0161;Pest control (including rabbits) in connection with agriculture on a fee or contract basis
1140;0161;Preparation of fields on a fee or contract basis
1140;0161;Provision of agricultural machinery with operators and crew on a fee or contract basis
1140;0161;Support activities for crop production
1140;0161;Thinning of beets on a fee or contract basis
1140;0161;Transplanting of rice on a fee or contract basis
1140;0161;Treatment of crops on a fee or contract basis
1111;0161;Latex harvesting
1111;0161;Liquid latex plantation treatment
1112;0161;Tree plant and tree bracing services for ornamental trees in nurseries
1113;0161;Orchard maintenance on a fee or contract basis
1113;0161;Orchard pruning on a fee or contract basis
1140;0161;Aerial crop dusting services
1140;0161;Aerial crop spraying services
1140;0161;Aerial fertilizer spreading services
1140;0161;Aerial mustering
1140;0161;Aerial pasture spraying or dusting
1140;0161;Aerial pest control or baiting
1140;0161;Aerial seeding service
1140;0161;Aerial topdressing services
1140;0161;Agricultural irrigation system service operation
1140;0161;Agricultural land clearing service
1140;0161;Agricultural machinery rental (with operator)
1140;0161;Agricultural machinery with drivers and crew provision
1140;0161;Agricultural pest control services
1140;0161;Agricultural pest eradication services
1140;0161;Apple picking services
1140;0161;Canal maintenance, not involving construction (agricultural irrigation)
1140;0161;Cane sugar cutting service
1140;0161;Crop bulk packaging
1140;0161;Crop establishing activities
1140;0161;Crop harvesting and related activities
1140;0161;Crop production services (on fee or contract basis)
1140;0161;Crop protecting activities
1140;0161;Crop spraying or dusting (aerial)
1140;0161;Deforestation of land
1140;0161;Fallowing of land
1140;0161;Farm development
1140;0161;Farm irrigation service
1140;0161;Farm labour contractors activities
1140;0161;Fertilizer spreading service
1140;0161;Fodder cultivating services
1140;0161;Fodder planting services
1140;0161;Fruit packing services by companies, on the farm or warehouse not situated on farm
1140;0161;Fruit picking and sorting services
1140;0161;Grain cultivating services
1140;0161;Grain planting services
1140;0161;Grape vine improvement services
1140;0161;Ground spread crop spraying services
1140;0161;Ground spread topdressing services
1140;0161;Ground spreading fertilizer services
1140;0161;Ground spreading lime services
1140;0161;Horticultural crop cultivating services
1140;0161;Horticultural crop planting services
1140;0161;Horticultural services
1140;0161;Insect extermination, agricultural service
1140;0161;Irrigation systems operation for agricultural purposes
1140;0161;Market gardening
1140;0161;Nassella tussock controlling services
1140;0161;Natural fresh fertilizer gathering service
1140;0161;Orchard and field preparation services
1140;0161;Orchard trees spraying , pruning and surgery services
1140;0161;Pasture cultivating services
1140;0161;Pasture planting services
1140;0161;Pest destroying and spraying
1140;0161;Ploughing services
1140;0161;Pollination services
1140;0161;Post tensioning services for farmers (not electric poles)
1140;0161;Rabbit eradication services
1140;0161;Rat destroying and trapping farm service
1140;0161;Rice transplantation services in rice fields
1140;0161;Rural land clearing services
1140;0161;Scrub cutting services
1140;0161;Trapping vermin service (small animals e.g. insects, rodents) on farms
1140;0161;Tree bracing services for orchards
1140;0161;Tree doctoring services (farm)
1140;0161;Tree surgeon services (farm)
1140;0161;Turf cutting and laying services
1140;0161;Vegetable cultivating services
1140;0161;Vegetable planting services
1140;0161;Water irrigation systems operated for agricultural purposes
1140;0162;Activities of farriers
1140;0162;Activities related to artificial insemination on a fee or contract basis (agriculture)
1140;0162;Agistment services on a fee or contract basis (agriculture)
1140;0162;Agricultural activities to promote propagation, growth and output of animals on a fee or contract basis
1140;0162;Animal production services (on fee or contract basis)
1140;0162;Coop cleaning on a fee or contract basis (agriculture)
1140;0162;Droving services on a fee or contract basis (agriculture)
1140;0162;Farm animal boarding and care on a fee or contract basis, (for provision of space for animal boarding only, see 6810) and for pet boarding, see 9609)
1140;0162;Herd testing services on a fee or contract basis (agriculture)
1140;0162;Poultry caponizing on a fee or contract basis (agriculture)
1140;0162;Sheep shearing on a fee or contract basis (agriculture)
1121;0162;Feedlot provision services
1140;0162;Agistment service activities
1140;0162;Agricultural livestock services
1140;0162;Animal boarding operation e.g. kennels, stables
1140;0162;Animal breeding centre operation
1140;0162;Animal care centre operation
1140;0162;Animal catching services
1140;0162;Animal cloning services
1140;0162;Animal husbandry services
1140;0162;Animal husbandry services except veterinary services
